Bean,Aroma,Balance,Flavor,Body,AfterTaste
2018 Guatemala C.o.E #3 El Morito ,8.191666667,8.215,8.25,8.075,8.25
Peru El Diamante ,7.55,7.841666667,7.9,7.806666667,7.935
Peru San Ignacio ,7.48,7.631666667,7.818333333,7.666666667,7.585
Peru Chirinos,7.48,7.643333333,7.701666667,7.526666667,7.515
Colombia Huila El Paraiso Caturron Washed ,7.981666667,7.666666667,7.923333333,7.841666667,7.666666667
Colombia Valle Inmaculada Geisha Natural ,7.491666667,7.41,7.433333333,7.818333333,7.876666667
India Badra Arabica ,7.608333333,7.841666667,7.865,7.841666667,7.9
Brazil Santa Ines Natural ,7.573333333,7.853333333,7.841666667,7.9,7.806666667
Brazil Sertão Pulped Natural ,7.538333333,7.83,7.806666667,7.865,7.725
Ethiopia Guji Hambela Buku Washed ,8.215,8.18,8.156666667,7.958333333,7.9
Ethiopia Yirgacheffe Kele Natural ,7.573333333,7.701666667,7.526666667,7.666666667,7.515
Ethiopia Yirgacheffe Koke Honey ,7.76,7.783333333,7.666666667,7.993333333,7.841666667
Ethiopia Yirgacheffe Koke Honey ,7.695833333,7.715666667,7.631666667,7.783333333,7.748333333
Colombia Santander Jerman,7.41,7.246666667,7.293333333,7.2,7.246666667
Colombia Huila Ismael ,7.456666667,7.351666667,7.246666667,7.176666667,7.2
Colombia Huila Alirio ,7.585,7.48,7.713333333,7.69,7.55
Colombia Quindio Sara Yellow Natural ,7.841666667,7.666666667,7.876666667,7.713333333,7.666666667
Ethiopia Sidamo Kokosa Washed ,7.666666667,7.41,7.491666667,7.725,7.806666667
Ethiopia Sidamo Aricho Washed ,7.281666667,7.176666667,7.025,7.316666667,7.095
Ethiopia Yirgacheffe Konga Washed,7.9,7.666666667,7.538333333,7.818333333,7.795
Ethiopia Guji Uraga Raro Boda Washed ,8.075,8.016666667,8.11,8.075,8.098333333
Ethiopia Yirgacheffe Worka Chelbesa Washed ,8.051666667,7.923333333,7.958333333,7.865,7.783333333
Colombia La Palma & El Tucan 357 San Pedro ,7.725,7.69,7.83,7.9,7.841666667
Colombia La Palma & El Tucan 360 San Miguel ,7.526666667,7.608333333,7.631666667,7.596666667,7.433333333
Brundi Rumonge Washed,6.791666667,6.733333333,6.71,6.675,6.686666667
Brundi Bururi Washed,7.025,7.013333333,7.083333333,7.2,7.141666667
Brundi Mutana Natural,7.585,7.34,7.468333333,7.69,7.76
Brundi Songa Natural,7.293333333,7.2,7.375,7.643333333,7.69
Guatemala Santo Domingo Quenene,6.815,6.733333333,6.908333333,7.41,7.13
Panama Lerida Pacamara Washed,7.865,7.818333333,7.9,8.016666667,8.11
Panama Rocky Mountain Geisha Natural,8.168333333,8.191666667,7.865,8.098333333,8.121666667
Colombia Valle Cafetero 2018 #5 La Rivera ,7.806666667,7.526666667,7.573333333,7.491666667,7.468333333
Colombia Valle Cafetero 2018 #4 El Retiro ,7.585,7.491666667,7.421666667,7.526666667,7.316666667
Colombia Valle Cafetero 2018 #2,7.643333333,7.666666667,7.608333333,7.515,7.48
Guatemala Huehuetenango La Soledad,7.9,7.841666667,7.946666667,7.841666667,7.9
Bolivia Finca Floripondio Caturra,7.351666667,7.41,7.433333333,7.9,7.55
Panama Lerida Pacamara Washed,7.456666667,7.48,7.573333333,7.631666667,7.48
Bolivia El Trapiche Bourbon,7.363333333,7.666666667,7.643333333,7.725,7.818333333
Ethiopia Guji Uraga Gomero Washed,7.526666667,7.748333333,7.865,7.701666667,7.666666667
Ethiopia Guji Uraga Gomero Natural ,7.433333333,7.666666667,7.456666667,7.806666667,7.526666667
Ethiopia Guji Hambela Deri Natural,7.456666667,7.783333333,7.725,7.818333333,7.841666667
Ethiopia Yirgacheffe Aricha Natural,7.433333333,7.725,7.666666667,7.923333333,7.876666667
Ethiopia Yirgacheffe Chelelektu Natural,7.608333333,7.865,7.841666667,7.55,7.515
Ethiopia Yirgacheffe Haru Suke Natural ,7.468333333,7.585,7.491666667,7.515,7.585
Ethiopia Sidama Bensa Carbonic,7.76,7.9,7.865,7.958333333,7.818333333
Colombia Cauca Ajicito,7.818333333,7.958333333,7.993333333,7.876666667,7.888333333
Colombia Cauca El Triunfo,7.841666667,7.806666667,7.911666667,7.9,7.725
Colombia Cauca El Naranjo,7.456666667,7.375,7.526666667,7.421666667,7.258333333
Colombia Cauca El Diamante,7.748333333,7.69,7.783333333,7.561666667,7.456666667
2018 Honduras C.o.E #3 Nacimiento 2018,8.156666667,8.18,8.25,8.191666667,8.098333333
Ethiopia Yirgacheffe Kochere Washed,7.923333333,7.818333333,7.841666667,7.725,7.865
Ethiopia Guji Dubissa Washed,7.888333333,7.725,7.795,7.666666667,7.806666667
Colombia Nariño El Pailon,7.643333333,7.69,7.76,7.818333333,7.783333333
Colombia Nariño Ladera,7.608333333,7.666666667,7.608333333,7.69,7.725
Colombia Nariño Todos Santos,7.631666667,7.643333333,7.596666667,7.561666667,7.608333333
Colombia Nariño Arboleda,7.678333333,7.666666667,7.771666667,7.55,7.69
Colombia Huila Timana,7.235,7.258333333,7.025,6.943333333,6.955
Colombia Huila ,7.223333333,7.223333333,7.013333333,6.92,6.931666667
Colombia Pitalito Finca La Pradera Gesha Washed,8.133333333,8.04,7.888333333,7.911666667,8.075
Ethiopia Yirgacheffe Haru Suke Washed,7.76,7.84,7.75,7.67,7.9
Ethiopia Limu Gesha Washed,7.95,7.96,7.99,7.82,8.02
Ethiopia Limu Gesha Natural,7.88,7.85,7.81,7.92,7.9
Ethiopia Yirgacheffe Chelba Washed,7.81,7.82,7.78,7.71,7.8
Ethiopia Yirgacheffe Chelba Natural,7.95,7.92,8.02,7.95,7.9
Ethiopia Yirgacheffe Beloya Washed,7.85,7.76,7.83,7.84,7.7
Ethiopia Yirgacheffe Beloya Natural,7.97,7.92,7.9,7.94,7.76
Ethiopia Yirgacheffe Hafursa Washed,7.725,7.701666667,7.666666667,7.666666667,7.666666667
Ethiopia Yirgacheffe Hafursa Natural,7.725,7.748333333,7.725,7.806666667,7.666666667
Brazil Mogiana Bom Jesus Farm Yellow Bourbon,7.53,7.41,7.54,7.69,7.67
Brazil Cerrado Monte Carmelo Natural,6.55,6.66,6.76,6.89,6.76
Brazil Premium Mogiana NY2 FC SC17/18,7.42,7.34,7.41,7.67,7.32
Kenya Kirinyaga AA TOP Karimikui,7.84,7.7,7.67,7.82,7.69
Kenya Kirinyaga AA TOP Ragati,6.83,6.83,6.79,6.85,6.62
Kenya Kirinyaga AA TOP Kiangoi,7.78,7.81,7.82,7.84,7.67
Kenya Kirinyaga AA TOP Kii,8.05,8.11,8.16,8.13,8.02
Honduras Marysabel Blend,7.48,7.57,7.55,7.67,7.56
Honduras El Pantanal,7.71,7.81,7.84,7.8,7.87
Honduras El Roble,7.87,7.69,7.71,7.46,7.53
Ethiopia Limu Wolenso Natural,7.49,7.75,7.81,7.9,7.67
Ethiopia Yirgacheffe Worka Sakaro Washed,8.13,8.09,8.11,7.99,8.18
Ethiopia Sidamo Gora Kone Washed,8.02,8.04,8.13,8.06,8.08
Colombia Valle Inmaculada Las Nubes Geisha Natural,7.11,7.39,7,7.43,6.68
India Gangagiri,7.35,7.43,7.46,7.73,7.53
India Attikan,7.55,7.26,7.2,7.18,7.34
India Attikan Kent,7.71,7.61,7.6,7.73,7.63
India Attikan Kent Natural,6.73,7.78,7.71,7.78,7.69
India Azadhind CxR,7.38,7.17,7.2,7.34,7.32
India Azadhind Robusta,7.32,7.12,7.14,7.32,7.2
India Badra Robusta,7.34,7.12,7.08,7.08,7.2
Guatemala Huehuetenango Waykan 2019,7.84,7.75,7.81,7.59,7.78
Honduras Las Acacias 2019,7.67,7.63,7.48,7.55,7.61
CostaRica Union de Cafetaleros Cerro Azul,7.46,7.67,7.43,7.43,7.55
Guatemala Tehuya,7.41,7.38,7.48,7.6,7.49
Guatemala Entre Volcanes,7.67,7.69,7.73,7.67,7.55
Colombia Antioquia Caicedo Supremo,7.67,7.81,7.9,7.82,7.57
Guatemala Santa Monica,6.73,6.64,6.76,7.15,6.94
Guatemala San Pedro,7.61,7.78,7.92,7.84,7.67
Indonesia Golden Longberry Natural,7.78,7.82,7.9,7.92,7.78
Ethiopia Yirgacheffe Aricha Amy Washed,8.23,8.25,8.22,8.13,8.25
Ethiopia Yirgacheffe Aricha Amy Natural,8.11,7.98,8.05,8.16,8.08
Ethiopia Yirgacheffe Aricha Anaerobic Natural,8.2,8.27,8.25,8.16,8.22
Colombia La Esperanza Geisha Washed,8.18,7.94,7.99,8.08,8.02
Brazil Monte Alegre Pulped Natural,7.55,7.46,7.57,7.48,7.84
Ethiopia Yirgacheffe G1 Washed,7.41,7.32,7.35,7.33,7.34
Ethiopia Yirgacheffe G2 Washed,7.41,7.43,7.41,7.36,7.41
Ethiopia Yirgacheffe Aricha Washed,7.54,7.69,7.64,7.66,7.77
Ethiopia Yirgacheffe Chelelektu Washed,7.71,7.75,7.83,7.84,7.88
Ethiopia Yirgacheffe Gedeb Worka Washed,7.57,7.54,7.67,7.63,7.48
Ethiopia Bench Magi Washed,7.61,7.56,7.83,7.83,7.64
Ethiopia Yirgacheffe Konga Natural,7.08,7.13,7,7.11,7.08
Ethiopia Guji Natural,7.49,7.55,7.41,7.55,7.35
